Material	Material Description	EAN/UPC	Mat. Type	X-Plant matl status	Plant	S01: Deliv Plant	Profit Center	Division	Dist Chnl	Sales Org	BD1 Product Hierarchy	BD1 PH Brand	BD1 PH Category	BD1 PH Sub-Category	Material Group 2	Mat. Group 2 Desc.	Material Group 3	Mat. Group 3 Desc.	Material Group 4	Mat. Group 4 Desc.	Material Group 5	Mat. Group 5 Desc.	EA UOM	EA. Length	EA. Width	EA. Height	EA Net Weight	EA Weight UOM	IP UOM	IP. Length	IP. Width	IP. Height	IP. Net Weight	IP Weight UOM	MP UOM	MP. Length	MP. Width	MP. Height	MP. Net Weight	MP Weight UOM	MSRP (ZMRP)	CATALOG (ZLSP)	CATALOG (ZLSP) Curr	Standard Price	40ft	40ftHigh	Lead Indicator	Country of origin	FOBPOINT	IP. Qty.	MP. Qty.	Customer	XYZ Indicator	Merch.Type Code	Merchandiser Type Description	NEWCATMGR	GR proc time (bus days)	Plnd Del Time (cal days)	Created On	ABC ind	GB. Gross Weight	GB. Length	GB. Width	GB. Qty.	HTSUS Code	IP. 12Of5	IP. Gross Weight	MP. 12Of5	MP. Gross Weight	MRP Cont.	MSRP (ZMRP) Curr	MSSP (ZMSP)	MSSP (ZMSP) Curr	X-Distr.Chain Status	X-Plant matl status Description	GB. Height	ZMAP	ZMAP Curr	ZSAP	ZSAP Curr	Material Group 1	Mat. Group 1 Desc.	Price Unit	ZFPP (FOB SELL)	ZFPP Currency	ZFPP Price Unit	MM03 Curr	Private Label/Exclusive	Include in Sales Portal	Minimum Lot Size
5197539	FW BGLTS BASC SALAD SPINNER ASST 4CT	024131364398	ZITM		1000	FOBR	40005	20	01	SYUS	 3500100200101010	FARBERWARE	GADGETS	FRUIT & VEG	 5	Everyday	C91	SALAD SPINNER	V80	PR LABL - BIG LOTS	N/A	N/A	IN	 10.750	 10.000	 4.750	 1.000	LB	IN	 0.000	 0.000	 0.000	 0.000	LB	IN	 11.000	 10.250	 10.000	 4.000	LB	 9.50	 3.70	USD	 2.110	 0	 0		CN	Yantian, China	 0	 1	BIG LOTS	Z	OSH	OPEN STOCK-HANGING	JARRET STROMER	 32	 100	07/04/2016	C	 1.000	 10.750	 10.000	1		000000000000	 0.000	20024131364392	 2.500	401	USD					 4.750			 9.50	USD	156	ASSORTED	 1				USD	X		 2400
5197540	FW CS BGLTS CAN OPENER ASST 12CT	024131364404	ZITM		FOBR	1000	40005	20	01	SYCF	 3500100200101024	FARBERWARE	GADGETS	OPENERS	 5	Everyday	A50	CAN OPENER	V80	PR LABL - BIG LOTS	N/A	N/A	IN	 8.000	 5.000	 5.000	 0.450	LB	IN	 0.000	 0.000	 0.000	 0.000	LB	IN	 16.250	 18.000	 18.250	 0.450	LB				 0.960	 7764	 0		CN	Yantian, China	 0	 1	BIG LOTS	Z	OSH	OPEN STOCK-HANGING	JARRET STROMER	 0	 90	07/04/2016	C	 0.380	 7.000	 5.000	1		000000000000	 0.000	20024131364408	 14.500	901						 5.000					156	ASSORTED	 1				USD	X		 2400
5197542	FW BGLTS FRESH EURO PEELER CDU 12 CT	024131364428	ZITM		FOBR	FOBR	40005	20	01	SYCF	 3500100200101010	FARBERWARE	GADGETS	FRUIT & VEG	 5	Everyday	C44	PEELER	V80	PR LABL - BIG LOTS	N/A	N/A	IN	 10.500	 4.840	 2.000	 0.560	LB	IN	 0.000	 0.000	 0.000	 0.000	LB	IN	 11.000	 7.800	 9.000	 6.720	LB				 0.610	 53688	 0		CN	Yantian, China	 0	 12	BIG LOTS	Z	CDU	CDU	JARRET STROMER	 0	 90	07/04/2016	C	 0.560	 10.500	 4.840	1		000000000000	 0.000	20024131364422	 8.000	901						 2.000					159	AUTUMN ORANGE	 1				USD	X		 500
5197543	FW BGLTS CS MASHER ASST 6CT	024131364435	ZITM		1000	FOBR	40005	20	01	SYUS	 3500100200101166	FARBERWARE	GADGETS	KITCHEN TOOLS	 5	Everyday	C68	POTATO MASHER	V80	PR LABL - BIG LOTS	N/A	N/A	IN	 3.000	 3.000	 11.000	 0.200	LB	IN	 16.500	 16.500	 9.500	 0.000	LB	IN	 28.500	 50.000	 40.000	 0.200	LB	 6.00	 2.50	USD	 2.630	 2160	 0		CN	Shenzhen, China	 0	 1	BIG LOTS	Z	OSH	OPEN STOCK-HANGING	OPEN POSITION KITCH	 32	 100	07/04/2016	C	 0.200	 3.000	 3.000	1		000000000000	 1.200	20024131364439	 14.400	401	USD					 11.000					156	ASSORTED	 1				USD			 2448
5198408	MISTO	TOBEASSIGNED	ZITM		1000	1000	40005	20	01	SYUS	 12100100200101010	MISTO	GADGETS	FRUIT & VEG	 5	Everyday	D49	SPRAYER OIL	428	N/A	N/A	N/A	IN	 9.750	 13.000	 7.380	 0.584	LB	IN	 0.000	 0.000	 0.000	 0.000	LB	IN	 14.000	 11.000	 11.000	 7.008	LB	 9.99	 5.00		 1.890	 24480	 0		CN	Ningbo, China	 0	 12		Z	CDU	CDU	GINNY MCCUSKER	 32	 100	07/13/2016	C	 0.584	 9.750	 13.000	1		000000000000	 0.000	000000000000	 7.008	407						 7.380			 9.99		108	ALUMINUM	 1				USD			 500
5198626	SAB S6 TOOL SET W CROCK	024131365555	ZITM		1000	1000	40005	20	01	SYUS	 3400100200101166	SABATIER	GADGETS	KITCHEN TOOLS	 5	Everyday	B88	MEASURING CUP	428	N/A	SAB	LTB-SABATIER-ROUSSELON FRERES	IN	 7.680	 3.540	 2.760	 0.360	LB	IN	 9.060	 4.450	 5.900	 0.000	LB	IN	 18.890	 13.970	 12.600	 1.440	LB	 6.99	 3.00	USD	 1.000	 37404	 0		CN	Ningbo, China	 0	 4		Z	OSS	OPEN STOCK-SHELF	STEVE BRACCO	 32	 100	07/14/2016	C	 0.370	 8.400	 3.840	1		000000000000	 1.150	20024131365559	 14.740	603	USD	 5.99	USD			 2.770					204	BLACK	 1				USD			 3600
5197541	FW BGLTS CS KITCHEN SHEARS CDU 12CT	024131364411	ZITM		1000	1000	40005	20	01	SYUS	 3500100200101166	FARBERWARE	GADGETS	KITCHEN TOOLS	 5	Everyday	D15	SHEAR	V80	PR LABL - BIG LOTS	N/A	N/A	IN	 1.800	 3.500	 10.000	 0.300	LB	IN	 9.500	 8.500	 12.000	 0.000	LB	IN	 20.000	 15.000	 24.000	 0.300	LB	 5.00	 2.00	USD	 1.440	 17244	 0		HK	Hong Kong	 0	 1	BIG LOTS	Z	OSH	OPEN STOCK-HANGING	OPEN POSITION KITCH	 32	 100	07/04/2016	C	 0.300	 1.800	 3.500	1		000000000000	 0.900	20024131364415	 10.800	401	USD					 10.000					156	ASSORTED	 1				USD			 1200
5197546	FW BGLTS CS MEL SLOT TURNER ASST 6CT	024131364466	ZITM		1000	FOBR	40005	20	01	SYUS	 3500100200101166	FARBERWARE	GADGETS	KITCHEN TOOLS	 5	Everyday	D29	SLOTTED TURNER	V80	PR LABL - BIG LOTS	N/A	N/A	IN	 0.300	 2.000	 12.000	 0.200	LB	IN	 9.000	 9.000	 7.000	 0.000	LB	IN	 28.500	 28.500	 36.500	 0.200	LB	 4.00	 1.60	USD	 1.750	 4176	 0		CN	Xiamen, China	 0	 1	BIG LOTS	Z	OSH	OPEN STOCK-HANGING	OPEN POSITION KITCH	 32	 100	07/04/2016	C	 0.200	 0.300	 2.000	1		000000000000	 1.200	20024131364460	 14.400	401	USD					 12.000					156	ASSORTED	 1				USD			 2000
5197545	FW BGLTS CS SCOOP SPOON ASST 6CT	024131364459	ZITM		1000	FOBR	40005	20	01	SYUS	 3500100200101166	FARBERWARE	GADGETS	KITCHEN TOOLS	 5	Everyday	D41	SPOON	V80	PR LABL - BIG LOTS	N/A	N/A	IN	 0.300	 2.000	 12.000	 0.200	LB	IN	 9.000	 9.000	 7.000	 0.000	LB	IN	 28.500	 28.500	 36.500	 0.200	LB	 4.00	 1.60	USD	 1.750	 4176	 0		CN	Xiamen, China	 0	 1	BIG LOTS	Z	OSH	OPEN STOCK-HANGING	OPEN POSITION KITCH	 32	 100	07/04/2016	C	 0.200	 0.300	 2.000	1		000000000000	 1.200	20024131364453	 14.400	401	USD					 12.000					156	ASSORTED	 1				USD			 2000
5197869	DO NOT ACTIVATE	024131364565	ZITM		FOBR	1000	40005	20	01	SYCF	 5600100200101032	KITCHENAID	GADGETS	STRAINING	 5	Everyday	D60	STRAINER	749	CLASSIC	KSI	Kitchen Aid Sinkware	IN	 16.330	 4.670	 9.000	 2.100	LB	IN	 0.000	 0.000	 0.000	 0.000	LB	IN	 49.750	 35.250	 9.500	 220.500	LB				 6.020	 21735	 0		CN	Yantian, China	 0	 105	COSTCO WHOLESALE	Z	OSS	OPEN STOCK-SHELF	BRYAN GARDNER	 0	 90	07/06/2016	C	 2.100	 16.330	 4.670	1		000000000000	 0.000	20024131364569	 50.000	901						 9.000					668	ONYX BLACK	 1				USD			 600
5197869	DO NOT ACTIVATE	024131364565	ZITM		1000	1000	40005	20	01	SYUS	 5600100200101032	KITCHENAID	GADGETS	STRAINING	 5	Everyday	D60	STRAINER	749	CLASSIC	KSI	Kitchen Aid Sinkware	IN	 16.330	 4.670	 9.000	 2.100	LB	IN	 0.000	 0.000	 0.000	 0.000	LB	IN	 49.750	 35.250	 9.500	 220.500	LB	 31.99	 13.75	USD	 6.340	 21735	 0		CN	Yantian, China	 0	 105	COSTCO WHOLESALE	Z	OSS	OPEN STOCK-SHELF	BRYAN GARDNER	 32	 100	07/06/2016	C	 2.100	 16.330	 4.670	1		000000000000	 0.000	20024131364569	 50.000	204	USD	 24.99	USD			 9.000					668	ONYX BLACK	 1				USD			 600
5198625	SAB S14 NYLON TOOL SET - BLACK	024131365548	ZITM		1000	1000	40005	20	01	SYUS	 3400100200101166	SABATIER	GADGETS	KITCHEN TOOLS	 5	Everyday	B88	MEASURING CUP	428	N/A	SAB	LTB-SABATIER-ROUSSELON FRERES	IN	 7.680	 3.540	 2.760	 0.360	LB	IN	 9.060	 4.450	 5.900	 0.000	LB	IN	 18.890	 13.970	 12.600	 1.440	LB	 6.99	 3.00	USD	 1.000	 37404	 0		CN	Ningbo, China	 0	 4		Z	OSS	OPEN STOCK-SHELF	STEVE BRACCO	 32	 100	07/14/2016	C	 0.370	 8.400	 3.840	1		000000000000	 1.150	20024131365542	 14.740	603	USD	 5.99	USD			 2.770					204	BLACK	 1				USD			 3600
5198687	FW CLASSIC WAITERS CORKSCREW	024131365562	ZITM		1000	1000	40005	20	01	SYUS	 3500100200101042	FARBERWARE	GADGETS	BARWARE	 5	Everyday	A85	CORKSCREW	749	CLASSIC	N/A	N/A	IN	 5.650	 0.450	 2.980	 0.140	LB	IN	 5.600	 3.000	 1.300	 0.420	LB	IN	 12.600	 6.700	 8.900	 6.720	LB	 3.99	 2.00		 0.310	 99936	 0		CN	Yantian, China	 3	 48		Z	OSH	OPEN STOCK-HANGING	ALEX ROSENBERG	 32	 100	07/15/2016	C	 0.150	 5.660	 0.500	1		10024131365569	 0.450	20024131365566	 7.200	402						 2.990			 3.99		868	STAINLESS STEEL	 1				USD	X		 1200
5198688	FW PRO WAITERS CORKSCREW SS	024131365579	ZITM		1000	1000	40005	20	01	SYUS	 3500100200101004	FARBERWARE	GADGETS	BAKING ITEMS	 5	Everyday	E16	WAITERS CORKSCREW	761	PROFESSIONAL	N/A	N/A	IN	 0.450	 1.000	 4.250	 0.180	LB	IN	 4.330	 8.660	 1.180	 0.720	LB	IN	 9.000	 9.000	 8.000	 8.640	LB	 4.99	 2.50		 0.510	 99984	 0		CN	Shanghai, China	 4	 48		Z	OSH	OPEN STOCK-HANGING	ALEX ROSENBERG	 32	 100	07/15/2016	C	 0.190	 0.500	 3.000	1		10024131365576	 0.720	20024131365573	 9.000	402						 7.000			 4.99		868	STAINLESS STEEL	 1				USD			 3600
