from,to,weight,type
A1,A2,43,(A1&A2)
A2,A1,43,(A2&A1)
A1,B1,50,(A1&B1)
A2,A3,52,(A2&A3)
A3,A2,52,(A3&A2)
A2,B2,50,(A2&B2)
A3,A4,52,(A3&A4)
A4,A3,52,(A4&A3)
A3,B3,50,(A3&B3)
A4,A5,52,(A4&A5)
A5,A4,52,(A5&A4)
A4,B4,50,(A4&B4)
A5,A6,52,(A5&A6)
A6,A5,52,(A6&A5)
A5,B5,50,(A5&B5)
A6,A7,52,(A6&A7)
A7,A6,52,(A7&A6)
A6,B6,50,(A6&B6)
A7,A8,52,(A7&A8)
A8,A7,52,(A8&A7)
A7,B7,50,(A7&B7)
A8,A9,52,(A8&A9)
A9,A8,52,(A9&A8)
A8,B8,50,(A8&B8)
A9,A10,52,(A9&A10)
A10,A9,52,(A10&A9)
A9,B9,50,(A9&B9)
A10,A11,52,(A10&A11)
A11,A10,52,(A11&A10)
A10,B10,50,(A10&B10)
A11,A12,52,(A11&A12)
A12,A11,52,(A12&A11)
A11,B11,50,(A11&B11)
A12,A13,52,(A12&A13)
A13,A12,52,(A13&A12)
A12,B12,50,(A12&B12)
A13,A14,52,(A13&A14)
A14,A13,52,(A14&A13)
A13,B13,50,(A13&B13)
A14,A15,52,(A14&A15)
A15,A14,52,(A15&A14)
A14,B14,50,(A14&B14)
A15,A16,52,(A15&A16)
A16,A15,52,(A16&A15)
A15,B15,50,(A15&B15)
A16,A17,52,(A16&A17)
A17,A16,52,(A17&A16)
A16,B16,50,(A16&B16)
A17,A18,52,(A17&A18)
A18,A17,52,(A18&A17)
A17,B17,50,(A17&B17)
A18,A19,52,(A18&A19)
A19,A18,52,(A19&A18)
A18,B18,50,(A18&B18)
A19,A20,52,(A19&A20)
A20,A19,52,(A20&A19)
A19,B19,50,(A19&B19)
A20,A21,52,(A20&A21)
A21,A20,52,(A21&A20)
A20,B20,50,(A20&B20)
A21,A22,52,(A21&A22)
A22,A21,52,(A22&A21)
A21,B21,50,(A21&B21)
A22,A23,52,(A22&A23)
A23,A22,52,(A23&A22)
A22,B22,50,(A22&B22)
A23,A24,52,(A23&A24)
A24,A23,52,(A24&A23)
A23,B23,50,(A23&B23)
A24,A25,52,(A24&A25)
A25,A24,52,(A25&A24)
A24,B24,50,(A24&B24)
A25,A26,52,(A25&A26)
A26,A25,52,(A26&A25)
A25,B25,50,(A25&B25)
A26,A27,52,(A26&A27)
A27,A26,52,(A27&A26)
A26,B26,50,(A26&B26)
A27,A28,52,(A27&A28)
A28,A27,52,(A28&A27)
A27,B27,50,(A27&B27)
A28,A29,52,(A28&A29)
A29,A28,52,(A29&A28)
A28,B28,50,(A28&B28)
A29,A30,52,(A29&A30)
A30,A29,52,(A30&A29)
A29,B29,50,(A29&B29)
A30,A31,52,(A30&A31)
A31,A30,52,(A31&A30)
A30,B30,50,(A30&B30)
A31,A32,52,(A31&A32)
A32,A31,52,(A32&A31)
A31,B31,50,(A31&B31)
A32,A33,52,(A32&A33)
A33,A32,52,(A33&A32)
A32,B32,50,(A32&B32)
A33,A34,52,(A33&A34)
A34,A33,52,(A34&A33)
A33,B33,50,(A33&B33)
A34,A35,52,(A34&A35)
A35,A34,52,(A35&A34)
A34,B34,50,(A34&B34)
A35,A36,52,(A35&A36)
A36,A35,52,(A36&A35)
A35,B35,50,(A35&B35)
A36,A37,52,(A36&A37)
A37,A36,52,(A37&A36)
A36,B36,50,(A36&B36)
A37,A38,52,(A37&A38)
A38,A37,52,(A38&A37)
A37,B37,50,(A37&B37)
B1,A1,50,(B1&A1)
B2,A2,50,(B2&A2)
B3,A3,50,(B3&A3)
B4,A4,50,(B4&A4)
B5,A5,50,(B5&A5)
B6,A6,50,(B6&A6)
B7,A7,50,(B7&A7)
B8,A8,50,(B8&A8)
B9,A9,50,(B9&A9)
B10,A10,50,(B10&A10)
B11,A11,50,(B11&A11)
B12,A12,50,(B12&A12)
B13,A13,50,(B13&A13)
B14,A14,50,(B14&A14)
B15,A15,50,(B15&A15)
B16,A16,50,(B16&A16)
B17,A17,50,(B17&A17)
B18,A18,50,(B18&A18)
B19,A19,50,(B19&A19)
B20,A20,50,(B20&A20)
B21,A21,50,(B21&A21)
B22,A22,50,(B22&A22)
B23,A23,50,(B23&A23)
B24,A24,50,(B24&A24)
B25,A25,50,(B25&A25)
B26,A26,50,(B26&A26)
B27,A27,50,(B27&A27)
B28,A28,50,(B28&A28)
B29,A29,50,(B29&A29)
B30,A30,50,(B30&A30)
B31,A31,50,(B31&A31)
B32,A32,50,(B32&A32)
B33,A33,50,(B33&A33)
B34,A34,50,(B34&A34)
B35,A35,50,(B35&A35)
B36,A36,50,(B36&A36)
B37,A37,50,(B37&A37)
